Date	Time	V_inf	B_ksi	B_etta
2021-Feb-02 02:47:57.593	93000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 02:57:57.593	93600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 03:07:57.593	94200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 03:17:57.593	94800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 03:27:57.593	95400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 03:37:57.593	96000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 03:47:57.593	96600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 03:57:57.593	97200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 04:07:57.593	97800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 04:17:57.593	98400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 04:27:57.593	99000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 04:37:57.593	99600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 04:47:57.593	100200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 04:57:57.593	100800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 05:07:57.593	101400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 05:17:57.593	102000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 05:27:57.593	102600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 05:37:57.593	103200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 05:47:57.593	103800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 05:57:57.593	104400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 06:07:57.593	105000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 06:17:57.593	105600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 06:27:57.593	106200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 06:37:57.593	106800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 06:47:57.593	107400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 06:57:57.593	108000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 07:07:57.593	108600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 07:17:57.593	109200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 07:27:57.593	109800	-nan(ind)	-nan(ind)	-nan(ind)
